Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Coordinate_System,Approval_Status,Approval_Date,Origin,
"8 Homeward","Moon",12.52,-12.02,97.09,"Planetographic  +East  -180 - 180","Approved","Oct 5, 2018","Crater visible in the iconic “Earthrise” colour photograph, taken aboard Apollo 8 by W. A. Anders on December 24, 1968, symbolizes the safe return to Earth of Apollo 8. The crater was previously designated Ganskiy (Hansky) M.",
"Abbe","Moon",63.98,-57.58,174.77,"Planetographic  +East  -180 - 180","Approved","1970","Ernst Karl; German optician, physicist, astronomer (1840-1905).",
"Abbot","Moon",10.4,5.56,54.74,"Planetographic  +East  -180 - 180","Approved","1973","Charles Greeley; American astrophysicist (1872-1973).",
"[Abduh]","Moon",0,14.7,39,"Planetographic  +East  -180 - 180","Not Approved"," ","Mohammed; Egyptian writer (1849-1905).",
"Abel","Moon",137.35,-34.63,85.78,"Planetographic  +East  -180 - 180","Approved","1964","Niels Henrik; Norwegian mathematician (1802-1829).",
"Abenezra","Moon",43.19,-20.99,11.89,"Planetographic  +East  -180 - 180","Approved","1935","Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",
"Abetti","Moon",1.6,20.11,27.82,"Planetographic  +East  -180 - 180","Approved","1976","Antonio; Italian astronomer (1846-1928); Giorgio; Italian astronomer (1882-1982).",
"Abulfeda","Moon",62.23,-13.87,13.91,"Planetographic  +East  -180 - 180","Approved","1935","Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).",
"Abul Wáfa","Moon",54.18,0.96,116.63,"Planetographic  +East  -180 - 180","Approved","1970","Abū al-Wafā al-Būzajāni; Persian mathematician, astronomer (940-998).",
"Acosta","Moon",13.06,-5.65,60.14,"Planetographic  +East  -180 - 180","Approved","1976","Cristobal; Portuguese doctor, natural historian (1515-1580).",
"Adams","Moon",63.27,-31.89,68.39,"Planetographic  +East  -180 - 180","Approved","1970","John Couch; British astronomer (1819-1892); Charles Hitchcock; American astronomer (1868-1951); Walter Sydney; American astronomer (1876-1956).",
"Aepinus","Moon",16.74,87.96,-109.69,"Planetographic  +East  -180 - 180","Approved","Jan 22, 2009","Franz Maria Ulrich Theodor Hoch; German-Russian astronomer (1724-1802).",
"Agatharchides","Moon",51.98,-19.85,-31.11,"Planetographic  +East  -180 - 180","Approved","1935","Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).",
"Agrippa","Moon",43.75,4.1,10.47,"Planetographic  +East  -180 - 180","Approved","1935","Greek astronomer (unkn-fl. A.D. 92).",
"Airy","Moon",38.9,-18.14,5.61,"Planetographic  +East  -180 - 180","Approved","1935","George Biddell; British astronomer (1801-1892).",
"Aitken","Moon",129.69,-16.44,172.96,"Planetographic  +East  -180 - 180","Approved","1970","Robert Grant; American astronomer (1864-1951).",
"Akis","Moon",2.28,20.01,-31.76,"Planetographic  +East  -180 - 180","Approved","1976","Greek female name.",
